@relation 'autoPrice.names-weka.filters.unsupervised.attribute.Remove-V-R2-3,5,7-8,12,16'

@attribute normalized-losses numeric
@attribute wheel-base numeric
@attribute width numeric
@attribute curb-weight numeric
@attribute engine-size numeric
@attribute horsepower numeric
@attribute class numeric

@data
128,100.4,66.5,3095,181,152,13499
108,100.4,66.5,3296,181,152,14399
108,100.4,66.5,3060,181,152,13499
194,91.3,67.9,3071,181,160,17199
194,91.3,67.9,3139,181,200,19699
231,99.2,67.9,3139,181,160,18399
161,107.9,68.4,3020,120,97,11900
161,107.9,68.4,3197,152,95,13200
161,107.9,68.4,3075,120,95,15580
161,107.9,68.4,3252,152,95,16900
161,107.9,68.4,3075,120,97,16630
161,107.9,68.4,3252,152,95,17950
161,108,68.3,3130,134,142,18150
119,93.7,63.8,1918,90,68,5572
119,93.7,63.8,2128,98,102,7957
154,93.7,63.8,1967,90,68,6229
154,93.7,63.8,1989,90,68,6692
154,93.7,63.8,2191,98,68,7609
74,103.3,64.6,2535,122,88,8921
186,94.5,68.3,2778,151,143,22018
150,99.1,66.5,2658,121,110,11850
104,99.1,66.5,2695,121,110,12170
150,99.1,66.5,2707,121,110,15040
104,99.1,66.5,2758,121,110,15510
150,99.1,66.5,2808,121,160,18150
104,99.1,66.5,2847,121,160,18620
83,93.7,63.4,2050,97,69,5118
83,93.7,63.6,2120,108,73,7053
83,93.3,63.8,2240,108,73,7603
102,97.2,65.4,2145,108,82,7126
102,97.2,65.4,2190,108,82,7775
102,97.2,65.4,2340,108,94,9960
102,97,65.4,2385,108,82,9233
102,97,65.4,2510,108,111,11259
89,97,65.4,2290,108,82,7463
89,97,65.4,2455,108,94,10198
85,96.9,65.4,2420,108,82,8013
85,96.9,65.4,2650,108,111,11694
87,95.7,63.6,1985,92,62,5348
87,95.7,63.6,2040,92,62,6338
74,95.7,63.6,2015,92,62,6488
77,95.7,63.6,2280,92,62,6918
81,95.7,63.6,2290,92,62,7898
91,95.7,63.6,3110,92,62,8778
91,95.7,64.4,2081,98,70,6938
91,95.7,64.4,2109,98,70,7198
91,95.7,64.4,2275,110,56,7898
91,95.7,64.4,2275,110,56,7788
91,95.7,64.4,2094,98,70,7738
91,95.7,64.4,2122,98,70,8358
91,95.7,64.4,2140,98,70,9258
168,94.5,64,2169,98,70,8058
168,94.5,64,2204,98,70,8238
168,94.5,64,2265,98,112,9298
168,94.5,64,2300,98,112,9538
134,98.4,65.6,2540,146,116,8449
134,98.4,65.6,2536,146,116,9639
134,98.4,65.6,2551,146,116,9989
134,98.4,65.6,2679,146,116,11199
134,98.4,65.6,2714,146,116,11549
134,98.4,65.6,2975,146,116,17669
65,102.4,66.5,2326,122,92,8948
65,102.4,66.5,2480,110,73,10698
65,102.4,66.5,2414,122,92,9988
65,102.4,66.5,2414,122,92,10898
65,102.4,66.5,2458,122,92,11248
197,102.9,67.7,2976,171,161,16558
197,102.9,67.7,3016,171,161,15998
90,104.5,66.5,3131,171,156,15690
122,97.3,65.5,2261,97,52,7775
122,97.3,65.5,2209,109,85,7975
94,97.3,65.5,2264,97,52,7995
94,97.3,65.5,2212,109,85,8195
94,97.3,65.5,2275,109,85,8495
94,97.3,65.5,2319,97,68,9495
94,97.3,65.5,2300,109,100,9995
256,94.5,64,2221,109,90,9980
103,104.3,67.2,2912,141,114,12940
74,104.3,67.2,3034,141,114,13415
103,104.3,67.2,2935,141,114,15985
74,104.3,67.2,3042,141,114,16515
103,104.3,67.2,3045,130,162,18420
74,104.3,67.2,3157,130,162,18950
95,109.1,68.9,2952,141,114,16845
95,109.1,68.8,3049,141,160,19045
95,109.1,68.9,3012,173,134,21485
95,109.1,68.9,3217,145,106,22470
95,109.1,68.9,3062,141,114,22625
